сапогоу|sapogu|сапогоу
къто|kъto|къто
естъ|jestъ|ѥстъ
г҃лѧꙇ|golgoĺęjь|глаголѩи
ти|tebě|тебѣ
даждь|daђь|даждь
ми|mъně|мънѣ
пити|piti|пити
тꙑ|ty|тъі
и|i|и
просила|prosila|просила
оу|u|оу
него|ńego|н҄его
ꙇ|i|и
далъ|dalъ|далъ
ти|tebě|тебѣ
би|bi|би
водѫ|vodǫ|водѫ
живѫ||
г҃ла|golgola|глагола
емоу|jemu|ѥмоу
жена|žena|жена
г҃и|gospodi|господи
ни|ni|ни
почръпальника|počŕ̥padla|почрьпала
ꙇмаши|jьmaši|имаши
ꙇ|i|и
кладѧѕь||
естъ|jestъ|ѥстъ
глѫбокъ|glǫbokъ|глѫбокъ
отъкѫдоу|otъkǫdu|отъкѫдоу
оубо|ubo|оубо
еси|jesi|ѥси
о҃ца|boga|бога
нашего|našego|нашего
ꙇѣкова|ijǢkova|иꙗкова
ꙇже|jьže|иже
дастъ|dastъ|дастъ
намъ|namъ|намъ
кладѧзь||
ꙇ|i|и
тъ|tъ|тъ
ꙇж|jьz|из
него|ńego|н҄его
питъ|pitъ|питъ
ꙇ|i|и
с҃нове|synove|съінове
его|jego|ѥго
ꙇ|i|и
скоти|skoti|скоти
его|jego|ѥго
отъвѣшта|otъvěћǢ|отъвѣща
и҃с|jisusъ|исоусъ
ꙇ|i|и
рече|reče|рече
еи|jejь|ѥи
вьсѣкъ|vьxakъ|вьсꙗкъ
пиѩи|pьjęjь|пиѩи
отъ|otъ|отъ
водꙑ|vody|водъі
сеѩ|seję|сеѩ
вьждѩждетъ|vъžǯęђetъ|въждѧждетъ
сѧ|sę|сѧ
пакꙑ|paky|пакъі
а|a|а
ꙇже|jьže|иже
пиетъ|pьjetъ|пиѥтъ
отъ|otъ|отъ
водꙑ|vody|водъі
ѭже|jǫže|ѭже
азъ|azъ|азъ
дамь|damь|дамь
емоу|jemu|ѥмоу
не|ne|не
ꙇматъ|jьmatъ|иматъ
въждѧдати|vъžǯędati|въждѧдати
сѧ|sę|сѧ
въ|vъ|въ
вѣкъ|věkъ|вѣкъ
нъ|nъ|нъ
вода|voda|вода
ѭже|jǫže|ѭже
азъ|azъ|азъ
дамь|damь|дамь
емоу|jemu|ѥмоу
бѫдетъ|bǫdetъ|бѫдетъ
вь|vъ|въ
н҄емь|ńemь|н҄емь
ꙇсточьникъ|jьstočьnikъ|источьникъ
водꙑ|vody|водъі
вьслѣплѫштѫѭ||
въ|vъ|въ
животъ|životъ|животъ
вѣчьнꙑ|věčьnъjь|вѣчьнъіи
г҃ла|golgola|глагола
къ|kъ|къ
н҄емоу|ńemu|н҄емоу
жена|žena|жена
г҃и|gospodi|господи
даждь|daђь|даждь
ми|mъně|мънѣ
сиѭ|sьjǫ|сиѭ
водѫ|vodǫ|водѫ
да|da|да
ни|ni|ни
жѧждѫ||
ни|ni|ни
прихождѫ|prixoђǫ|прихождѫ
сѣмо|sěmo|сѣмо
почръпатъ|počŕ̥patъ|почрьпатъ
г҃ла|golgola|глагола
еи|jejь|ѥи
ꙇ҃с|jisusъ|исоусъ
ꙇди|jьdi|иди
пригласи|prigolsi|пригласи
мѫжа|mǫžǢ|мѫжа
своего|svojego|своѥго
ꙇ|i|и
приди|prijьdi|прииди
сѣмо|sěmo|сѣмо
отъвѣшта|otъvěћǢ|отъвѣща
жена|žena|жена
ꙇ|i|и
рече|reče|рече
емоу|jemu|ѥмоу
не|ne|не
ꙇмамь|jьmamь|имамь
мѫжа|mǫžǢ|мѫжа
г҃ла|golgola|глагола
еи|jejь|ѥи
ꙇ҃с|jisusъ|исоусъ
добрѣ|dobrě|добрѣ
рече|reče|рече
ѣко|ako|ако
мѫжа|mǫžǢ|мѫжа
не|ne|не
ꙇмамь|jьmamь|имамь
пѧть|pętь|пѧть
бо|bo|бо
мѫжь|mǫžь|мѫжь
ꙇмѣла|jьměla|имѣла
еси|jesi|ѥси
ꙇ|i|и
нꙑн҄ѣ|nyně|нъінѣ
егоже|jegože|ѥгоже
ꙇмаши|jьmaši|имаши
нѣстъ|něstъ|нѣстъ
ти|tebě|тебѣ
мѫжь|mǫžь|мѫжь
се|se|се
въ|vъ|въ
ꙇстинѫ|jьstinǫ|истинѫ
рече|reče|рече
