sapogu|сапогоу
prijьdi|прииди
sěmo|сѣмо
otъvěћǞ|отъвѣща
žena|жена
i|и
reče|рече
jemu|ѥмоу
ne|не
jьmamь|имамь
mǫžǞ|мѫжа
golgola|глагола
jejь|ѥи
jisusъ|исоусъ
dobrě|добрѣ
reče|рече
ako|ако
mǫžǞ|мѫжа
ne|не
jьmamь|имамь
pętь|пѧть
bo|бо
mǫžь|мѫжь
jьměla|имѣла
jesi|ѥси
i|и
nyně|нъінѣ
jegože|ѥгоже
jьmaši|имаши
něstъ|нѣстъ
tebě|тебѣ
mǫžь|мѫжь
se|се
vъ|въ
jьstinǫ|истинѫ
reče|рече
golgola|глагола
jemu|ѥмоу
žena|жена
gospodi|господи
viђǫ|виждѫ
ako|ако
prorokъ|пророкъ
jesi|ѥси
ty|тъі
otьki|отьци
naši|наши
vъ|въ
gorě|горѣ
sejь|сеи
poklonišę|поклонишѧ
sę|сѧ
i|и
vy|въі
golgoĺete|глагол҄ете
ako|ако
vъ|въ
|
jestъ|ѥстъ
město|мѣсто
jьdeže|идеже
klańǞti|кланꙗти
sę|сѧ
podobajetъ|подобаѥтъ
golgola|глагола
jejь|ѥи
jisusъ|исоусъ
ženo|жено
věrǫ|вѣрѫ
mъně|мънѣ
corrupted morphology tag|црароуптед мрапhологъі таг
ako|ако
grędetъ|грѧдетъ
čǞsъ|часъ
jegъda|ѥгъда
ni|ни
gorě|горѣ
sejь|сеи
ni|ни
vъ|въ
|
poklonite|поклоните
sę|сѧ
otьku|отьцоу
duxomь|доухомь
i|и
jьstinojǫ|истиноѭ
ibo|ибо
otьkь|отьць
takěxъ|тацѣхъ
jьščetъ|ищетъ
klańǞjǫћьjixъ|кланꙗѭщиихъ
sę|сѧ
jemu|ѥмоу
duxъ|доухъ
bo|бо
jestъ|ѥстъ
bogъ|богъ
jьže|иже
klańǞjetъ|кланꙗѥтъ
sę|сѧ
jemu|ѥмоу
duxomь|доухомь
i|и
jьstinojǫ|истиноѭ
dostojitъ|достоитъ
klańǞti|кланꙗти
sę|сѧ
golgola|глагола
jemu|ѥмоу
žena|жена
věmь|вѣмь
ako|ако
mesijǞ|месиꙗ
prijьdetъ|приидетъ
rekomъjь|рекомъіи
xristosъ|христосъ
jegъda|ѥгъда
tъ|тъ
prijьdetъ|приидетъ
vъzvěstitъ|възвѣститъ
namъ|намъ
vьxa|вьсꙗ
golgola|глагола
jejь|ѥи
jisusъ|исоусъ
azъ|азъ
jesmь|ѥсмь
golgoĺęjь|глаголѩи
﻿sъ|﻿съ
tobojǫ|тобоѭ
i|и
|
prijьdǫ|приидѫ
učeniki|оученици
jego|ѥго
i|и
čuђǞaxǫ|чоуждаахѫ
sę|сѧ
ako|ако
﻿sъ|﻿съ
ženojǫ|женоѭ
golgolaaše|глаголааше
i|и
nikъtože|никътоже
ne|не
reče|рече
česo|чесо
jьščeši|ищеши
ili|или
čьto|чьто
golgoĺeši|глагол҄еши
﻿sъ|﻿съ
ńejǫ|н҄еѭ
ostavi|остави
že|же
vodonosъ|водоносъ
svojь|свои
žena|жена
i|и
jьde|иде
vъ|въ
gordъ|градъ
i|и
golgola|глагола
čьlověkomъ|чьловѣкомъ
prijьděte|приидѣте
i|и
vidite|видите
čьlověka|чьловѣка
jьže|иже
reče|рече
mъně|мънѣ
vьxa|вьсꙗ
corrupted morphology tag|црароуптед мрапhологъі таг
sъtvorixъ|сътворихъ
jeda|ѥда
tъ|тъ
jestъ|ѥстъ
xristosъ|христосъ
jьzidǫ|изидѫ
že|же
jьz|из
gorda|града
i|и
gręděaxǫ|грѧдѣахѫ
kъ|къ
ńemu|н҄емоу
meђu|междоу
že|же
simь|симь
modĺǞaxǫ|молꙗахѫ
i|и
učeniki|оученици
jego|ѥго
golgoĺǫћe|глаголѭще
ravvi|равви
jǞђь|ꙗждь
onъ|онъ
že|же
reče|рече
kъ|къ
ńimъ|н҄имъ
azъ|азъ
boršьno|брашьно
jьmamь|имамь
jǞsti|ꙗсти
jegože|ѥгоже
vy|въі
ne|не
věste|вѣсте
golgolaaxǫ|глаголаахѫ
že|же
učeniki|оученици
kъ|къ
sebě|себѣ
jeda|ѥда
kъto|къто
prinese|принесе
jemu|ѥмоу
jǞsti|ꙗсти
golgola|глагола
jimъ|имъ
jisusъ|исоусъ
moje|моѥ
boršьno|брашьно
jestъ|ѥстъ
da|да
tvoŕǫ|творѭ
voĺǫ|волѭ
posъlavъšǞjego|посълавъшаѥго
mę|мѧ
i|и
sъvŕ̥šǫ|съврьшѫ
dělo|дѣло
jego|ѥго
ne|не
vy|въі
li|ли
golgoĺete|глагол҄ете
ako|ако
ješče|ѥще
četyre|четъіре
měsęki|мѣсѧци
sǫtъ|сѫтъ
i|и
žętva|жѧтва
prijьdetъ|приидетъ
se|се
golgoĺǫ|глаголѭ
vamъ|вамъ
vъzveděte|възведѣте
oči|очи
vaši|ваши
i|и
vidite|видите
ńivy|н҄ивъі
ako|ако
polvy|плавъі
sǫtъ|сѫтъ
kъ|къ
žętvě|жѧтвѣ
juže|юже
i|и
žьńęjь|жьнѩи
mьzdǫ|мьздѫ
prijemĺetъ|приѥмл҄етъ
i|и
sъbirajetъ|събираѥтъ
plodъ|плодъ
životьnъjь|животьнъіи
da|да
sějęjь|сѣѩи
vъkupě|въкоупѣ
radujetъ|радоуѥтъ
sę|сѧ
i|и
žьńęjь|жьнѩи
o|о
semь|семь
bo|бо
slovo|слово
jestъ|ѥстъ
jьstinьnoje|истиньноѥ
ako|ако
jьnъ|инъ
jestъ|ѥстъ
sějęjь|сѣѩи
i|и
jьnъ|инъ
jestъ|ѥстъ
žьńęjь|жьнѩи
azъ|азъ
že|же
posъlaxъ|посълахъ
vy|въі
žętъ|жѧтъ
jьdeže|идеже
vy|въі
ne|не
trudiste|троудисте
sę|сѧ
jьni|ини
trudišę|троудишѧ
sę|сѧ
i|и
vy|въі
vъ|въ
trudъ|троудъ
jixъ|ихъ
vъnidete|вънидете
otъ|отъ
gorda|града
že|же
togo|того
mъnogi|мъноѕи
věrovašę|вѣровашѧ
vъ|въ
ńego|н҄его
otъ|отъ
samarěnъ|самарѣнъ
za|за
slovo|слово
ženě|женѣ
sъvěděteĺьstvujǫћi|съвѣдѣтел҄ьствоуѭщи
ako|ако
reče|рече
mъně|мънѣ
vьxa|вьсꙗ
corrupted morphology tag|црароуптед мрапhологъі таг
sъtvorixъ|сътворихъ
jegъda|ѥгъда
že|же
prijьdǫ|приидѫ
kъ|къ
ńemu|н҄емоу
samarěne|самарѣне
modĺǞaxǫ|молꙗахѫ
i|и
da|да
bi|би
perbylъ|прѣбъілъ
u|оу
ńixъ|н҄ихъ
i|и
perbystъ|прѣбъістъ
tu|тоу
dъva|дъва
dьni|дьни
i|и
mъnogo|мъного
pače|паче
věrovašę|вѣровашѧ
za|за
slovo|слово
jego|ѥго
ženě|женѣ
golgolaaxǫ|глаголаахѫ
ako|ако
juže|юже
ne|не
za|за
tvojǫ|твоѭ
besědǫ|бесѣдѫ
věrujemъ|вѣроуѥмъ
sami|сами
bo|бо
slyšǞxomъ|слъішахомъ
i|и
věmъ|вѣмъ
ako|ако
sь|сь
jestъ|ѥстъ
vъ|въ
jьstinǫ|истинѫ
sъpasъ|съпасъ
mira|мира
xristosъ|христосъ
po|по
dъvoju|дъвою
že|же
dьnu|дьноу
jьzide|изиде
otъtǫdu|отътѫдоу
i|и
jьde|иде
vъ|въ
galilejǫ|галилеѭ
samъ|самъ
bo|бо
jisusъ|исоусъ
sъvěděteĺьstvova|съвѣдѣтел҄ьствова
ako|ако
prorokъ|пророкъ
vъ|въ
svojemь|своѥмь
|
ne|не
jьmatъ|иматъ
čisti|чисти
jegъda|ѥгъда
že|же
prijьde|прииде
vъ|въ
galilejǫ|галилеѭ
prijęšę|приѩшѧ
i|и
galilejǞne|галилеꙗне
vьxa|вьсꙗ
viděvъše|видѣвъше
corrupted morphology tag|црароуптед мрапhологъі таг
sъtvori|сътвори
vъ|въ
|
vъ|въ
porzdьnikъ|праздьникъ
prijьde|прииде
že|же
paky|пакъі
vъ|въ
kana|кана
galilejǫ|галилеѭ
jьdeže|идеже
sъtvori|сътвори
otъ|отъ
vody|водъі
vino|вино
bě|бѣ
že|же
jeterъ|ѥтеръ
kěsaŕь|цѣсар҄ь
mǫžь|мѫжь
jegože|ѥгоже
synъ|съінъ
bolěaše|болѣаше
vъ|въ
kaperъnaumě|каперънаоумѣ
slyšǞvъ|слъішавъ
ako|ако
jisusъ|исоусъ
prijьde|прииде
otъ|отъ
ijudeję|июдеѩ
vъ|въ
galilejǫ|галилеѭ
jьde|иде
kъ|къ
ńemu|н҄емоу
i|и
modĺǞaše|молꙗаше
i|и
da|да
sъnidetъ|сънидетъ
i|и
kělitъ|цѣлитъ
syna|съіна
jego|ѥго
bě|бѣ
bo|бо
umiraję|оумираѩ
reče|рече
že|же
kъ|къ
ńemu|н҄емоу
jisusъ|исоусъ
aћe|аще
|
i|и
čudesъ|чоудесъ
ne|не
vidite|видите
ne|не
jьmate|имате
věry|вѣръі
jęti|ѩти
golgola|глагола
kъ|къ
ńemu|н҄емоу
kěsaŕь|цѣсар҄ь
mǫžь|мѫжь
gospodi|господи
sъnidi|съниди
perђe|прѣжде
daže|даже
ne|не
umьretъ|оумьретъ
otročę|отрочѧ
moje|моѥ
golgola|глагола
kъ|къ
ńemu|н҄емоу
jisusъ|исоусъ
jьdi|иди
synъ|съінъ
tvojь|твои
živъ|живъ
jestъ|ѥстъ
i|и
věrǫ|вѣрѫ
jimъ|имъ
čьlověkъ|чьловѣкъ
slovesi|словеси
ježe|ѥже
reče|рече
jemu|ѥмоу
jisusъ|исоусъ
jьděaše|идѣаше
abьje|абиѥ
že|же
sъxodęћu|съходѧщоу
jemu|ѥмоу
se|се
orbi|раби
jego|ѥго
sъrětǫ|сърѣтѫ
i|и
golgoĺǫћe|глаголѭще
ako|ако
synъ|съінъ
tvojь|твои
živъ|живъ
jestъ|ѥстъ
vъprašǞaše|въпрашааше
že|же
čǞsa|часа
otъ|отъ
ńixъ|н҄ихъ
vъ|въ
kotorъ|которъ
sulěje|соулѣѥ
jemu|ѥмоу
bystъ|бъістъ
rěšę|рѣшѧ
že|же
jemu|ѥмоу
ako|ако
vьčera|вьчера
vъ|въ
čǞsъ|часъ
sedmъjь|седмъіи
ostavi|остави
ogńь|огн҄ь
orzumě|разоумѣ
že|же
otьkь|отьць
ako|ако
tъ|тъ
bě|бѣ
čǞsъ|часъ
vъ|въ
ńьže|н҄ьже
reče|рече
jemu|ѥмоу
jisusъ|исоусъ
synъ|съінъ
tvojь|твои
živъ|живъ
jestъ|ѥстъ
i|и
věrova|вѣрова
samъ|самъ
i|и
domъ|домъ
jego|ѥго
vьxь|вьсь
se|се
paky|пакъі
vъtoroje|вътороѥ
čudo|чоудо
sъtvori|сътвори
jisusъ|исоусъ
prišьdъ|пришьдъ
vъ|въ
galilejǫ|галилеѭ
po|по
sixъ|сихъ
že|же
bě|бѣ
porzdьnikъ|праздьникъ
ijudejьskъ|июдеискъ
i|и
vъzide|възиде
jisusъ|исоусъ
vъ|въ
|
jestъ|ѥстъ
že|же
vъ|въ
|
na|на
ovьči|овьчи
kǫpěli|кѫпѣли
jǞže|ꙗже
narikajetъ|нарицаѥтъ
sę|сѧ
jevrejьsky|ѥвреискъі
|
pętь|пѧть
pritvorъ|притворъ
jьmǫћi|имѫщи
vъ|въ
těxъ|тѣхъ
že|же
ležǞaše|лежааше
mъnožьstvo|мъножьство
|
slěpъ|слѣпъ
xromъ|хромъ
suxъ|соухъ
|
dviženьjǞ|движениꙗ
vodě|водѣ
anǵelъ|анꙉелъ
bo|бо
gospodьńь|господьн҄ь
na|на
vьxa|вьсꙗ
lěta|лѣта
|
sę|сѧ
vъ|въ
kǫpěli|кѫпѣли
i|и
vъzmǫћǞaše|възмѫщааше
vodǫ|водѫ
i|и
jьže|иже
pŕ̥věje|прьвѣѥ
vъlajǞaše|вълаꙗаше
po|по
vъzmǫћǞni|възмѫщани
vody|водъі
sъdorvъ|съдравъ
byvaaše|бъівааше
bě|бѣ
že|же
tu|тоу
jeterъ|ѥтеръ
čьlověkъ|чьловѣкъ
30|30
i|и
osmь|осмь
lětъ|лѣтъ
jьmy|имъі
vъ|въ
nedǫgě|недѫѕѣ
svojemь|своѥмь
sego|сего
viděvъ|видѣвъ
jisusъ|исоусъ
ležęћǞ|лежѧща
i|и
orzuměvъ|разоумѣвъ
ako|ако
mъnoga|мънога
lěta|лѣта
juže|юже
jьměaše|имѣаше
golgola|глагола
jemu|ѥмоу
xoћeši|хощеши
li|ли
živъ|живъ
byti|бъіти
otъvěћǞ|отъвѣща
jemu|ѥмоу
nedǫžьnъjь|недѫжьнъіи
corrupted morphology tag|црароуптед мрапhологъі таг
gospodi|господи
čьlověka|чьловѣка
ne|не
jьmamь|имамь
da|да
jegъda|ѥгъда
vъzmǫtitъ|възмѫтитъ
sę|сѧ
voda|вода
vъvŕ̥žetъ|въврьжетъ
mę|мѧ
vъ|въ
kǫpělь|кѫпѣль
jegъda|ѥгъда
že|же
prixoђǫ|прихождѫ
azъ|азъ
jьnъ|инъ
perђe|прѣжде
mene|мене
vъlazitъ|вълазитъ
golgola|глагола
jemu|ѥмоу
jisusъ|исоусъ
vъstani|въстани
vъzьmi|възьми
odrъ|одръ
tvojь|твои
i|и
jьdi|иди
vъ|въ
domъ|домъ
svojь|свои
i|и
abьje|абиѥ
kělъ|цѣлъ
by|бъі
čьlověkъ|чьловѣкъ
i|и
vъzętъ|възѧтъ
odrъ|одръ
svojь|свои
i|и
xoђǞaše|хождааше
bě|бѣ
že|же
sǫbota|сѫбота
vъ|въ
tъ|тъ
dьnь|дьнь
golgolaaxǫ|глаголаахѫ
že|же
ijudeji|июдеи
|
sǫbota|сѫбота
jestъ|ѥстъ
