сапогоу|sapogu
мѫжа|mǫžǢ
не|ne
ꙇмамь|jьmamь
пѧть|pętь
бо|bo
мѫжь|mǫžь
ꙇмѣла|jьměla
еси|jesi
ꙇ|i
нꙑн҄ѣ|nyně
егоже|jegože
ꙇмаши|jьmaši
нѣстъ|něstъ
ти|tebě
мѫжь|mǫžь
се|se
въ|vъ
ꙇстинѫ|jьstinǫ
рече|reče
г҃ла|golgola
емоу|jemu
жена|žena
г҃и|gospodi
виждѫ|viђǫ
ѣко|ako
пророкъ|prorokъ
еси|jesi
тꙑ|ty
о҃ци|otьki
наши|naši
въ|vъ
горѣ|gorě
сеі|sejь
поклонишѧ|poklonišę
сѧ|sę
ꙇ|i
вꙑ|vy
г҃лете|golgoĺete
ѣко|ako
въ|vъ
е҃рмѣхъ|
естъ|jestъ
мѣсто|město
ꙇдеже|jьdeže
клан҄ѣти|klańǢti
сѧ|sę
подобаетъ|podobajetъ
г҃ла|golgola
еі|jejь
и҃с|jisusъ
жено|ženo
вѣрѫ|věrǫ
ми|mъně
ꙇми|corrupted morphology tag
ѣко|ako
грѧдетъ|grędetъ
часъ|čǢsъ
егда|jegъda
ни|ni
горѣ|gorě
сеі|sejь
ни|ni
въ|vъ
е҃рлмѣхъ|
поклоните|poklonite
сѧ|sę
о҃цю|otьku
д҃хомь|duxomь
ꙇ|i
истиноѭ|jьstinojǫ
ꙇбо|ibo
о҃ць|otьkь
тацѣхъ|takěxъ
ꙇштетъ|jьščetъ
клан҄ѣѭштихъ|klańǢjǫћьjixъ
сѧ|sę
емоу|jemu
д҃хъ|duxъ
бо|bo
естъ|jestъ
б҃ъ|bogъ
ꙇже|jьže
клан҄ѣетъ|klańǢjetъ
сѧ|sę
емоу|jemu
д҃хомь|duxomь
ꙇ|i
истиноѭ|jьstinojǫ
достоꙇтъ|dostojitъ
клан҄ѣти|klańǢti
сѧ|sę
г҃ла|golgola
емоу|jemu
жена|žena
вѣмь|věmь
ѣко|ako
месиѣ|mesijǢ
придетъ|prijьdetъ
рекомꙑ|rekomъjь
х҃ъ|xristosъ
егда|jegъda
тъ|tъ
придетъ|prijьdetъ
вьзвѣститъ|vъzvěstitъ
намъ|namъ
